"","KIR3DP1","KIR2DS5","KIR2DL3","KIR2DP1","KIR2DS3","KIR2DS2","KIR2DL4","KIR3DL3","KIR3DL1","KIR3DS1","KIR2DL2","KIR3DL2","KIR2DS4","KIR2DL1","KIR2DS1","KIR2DL5"
"1110_S584_L002_R",0.475790387156579,0.000138058891978778,0.646332564148078,0.647220085596513,0.000118336193124667,0.600733684397373,0.868607380233911,1,1.31558290436463,0.025895903595448,0.483679466698223,1.30359150346133,1.18040352641856,0.540697789085458,0.00169615210145356,0.0079285249393527
"1111_S585_L002_R",0.480421654148358,0.000216454901621247,1.25526526548194,1.25742981449815,0.000432909803242494,0.000692655685187991,0.869001493538821,1,0.964999242407844,0.035238857983939,0.000714301175350116,0.934154418926817,0.637351457823762,1.0581181410853,0.000389618822918245,0.0112989458646291
"1113_S586_L002_R",0.714251269851476,0.000321481386227737,1.27192503054073,1.28787050729763,0.000225036970359416,0.00117340705973124,1.31908634990034,1,1.26710280974732,0.700524014659551,0.00110911078248569,1.32212434900019,1.22902333954864,1.09195975053044,0.00157525879251591,0.0630746479778821
"1114_S587_L002_R",0.493161475116362,0.000143215180809166,1.24141305645065,1.25616422007399,0.000310299558419859,0.00169471297290846,0.898174006444683,1,1.30409356725146,0.0269483231889247,0.00107411385606874,1.30103831006087,1.14008831602817,1.06707244301229,0.00126506743048096,0.010406969805466
"1115_S588_L002_R",0.257611847555924,0.970122203811102,0.00139809444904722,0.670912731289699,0.664785280309307,1.14015465341066,0.479183927091964,1,0.000621375310687655,0.690037282518641,0.932270091135046,1.33026097763049,0.000155343827671914,0.396558271195802,0.48025407346037,1.09797017398509
"1116_S589_L002_R",0.703610439990472,0.00125906012862831,0.646918705550073,1.26702283322558,0.647258992071324,0.600980025181203,1.32745771939973,1,1.26130601966856,0.708782795113486,0.48194780004764,1.30384183482492,1.10889168680029,0.937625480654711,0.00697587368564331,0.425188008302991
"1117_S590_L002_R",0.499912682820345,0.000720366732154551,0.647500545732373,1.29960707269155,0.658611656843484,0.594368041912246,0.880288146692862,1,1.17312813796114,0.112530015280506,0.476773630211744,1.33276577166558,1.21318489412792,0.936847849814451,0.00192097795241214,0.367779960707269
"1118_S591_L002_R",0.24365322148286,0.492446939354757,0.637579236179003,0.672427386546406,0.000567662177930556,0.582452931344413,0.454571257371724,1,0.644044277649879,0.017471380365196,0.461950865684821,1.30502381027469,0.626572897284683,0.522312277271437,0.244189346873128,0.365196001135324
"1119_S592_L002_R",0.473828797479946,0.490568111058203,0.0028570382037288,1.25394674187759,1.21101791143182,1.15332771693345,0.895022160360426,1,0.625032050108055,0.666166074502765,0.904215962785246,1.32101388227537,0.582909050950515,0.725504560272518,0.245851800300355,1.08120581663675
"1120_S593_L002_R",0.4890081799591,0.000408997955010225,0.670398773006135,0.659790388548057,0.000357873210633947,0.599821063394683,0.863880368098159,1,1.23842024539877,0.0261758691206544,0.478195296523517,1.2704754601227,1.19026073619632,0.563624744376278,0.000153374233128834,0.00695296523517382
